Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Dayton,11,55.0,Syracuse,3,53.0,Dayton,True,2014,2
Stanford,10,60.0,Kansas,2,57.0,Stanford,True,2014,2
Wichita State,1,76.0,Kentucky,8,78.0,Kentucky,False,2014,2
Saint Louis,5,51.0,Louisville,4,66.0,Louisville,False,2014,2
Tennessee,11,83.0,Mercer,14,63.0,Tennessee,True,2014,2
Texas,7,65.0,Michigan,2,79.0,Michigan,False,2014,2
Arizona,1,70.0,San Diego State,4,64.0,Arizona,True,2014,3
Baylor,6,52.0,Wisconsin,2,69.0,Wisconsin,False,2014,3
Virginia,1,59.0,Michigan State,4,61.0,Michigan State,False,2014,3
Iowa State,3,76.0,UConn,7,81.0,UConn,False,2014,3
Florida,1,79.0,UCLA,4,68.0,Florida,True,2014,3
Dayton,11,82.0,Stanford,10,72.0,Dayton,True,2014,3
Kentucky,8,74.0,Louisville,4,69.0,Kentucky,True,2014,3
Tennessee,11,71.0,Michigan,2,73.0,Michigan,False,2014,3
Arizona,1,63.0,Wisconsin,2,64.0,Wisconsin,False,2014,4
Michigan State,4,54.0,UConn,7,60.0,UConn,False,2014,4
Florida,1,62.0,Dayton,11,52.0,Florida,True,2014,4
Kentucky,8,75.0,Michigan,2,72.0,Kentucky,True,2014,4
Kentucky,8,74.0,Wisconsin,2,73.0,Kentucky,True,2014,5
UConn,7,63.0,Florida,1,53.0,UConn,True,2014,5
Kentucky,8,54.0,UConn,7,60.0,UConn,False,2014,6
Wisconsin,1,86.0,Coastal Carolina,16,72.0,Wisconsin,True,2015,1
Oregon,8,79.0,Oklahoma State,9,73.0,Oregon,True,2015,1
Arkansas,5,56.0,Wofford,12,53.0,Arkansas,True,2015,1
North Carolina,4,67.0,Harvard,13,65.0,North Carolina,True,2015,1
Xavier,6,76.0,Ole Miss,11,57.0,Xavier,True,2015,1
Baylor,3,56.0,Georgia State,14,57.0,Georgia State,False,2015,1
VCU,7,72.0,Ohio State,10,75.0,Ohio State,False,2015,1
Arizona,2,93.0,Texas Southern,15,72.0,Arizona,True,2015,1
Villanova,1,93.0,Lafayette,16,52.0,Villanova,True,2015,1
NC State,8,66.0,LSU,9,65.0,North Carolina State,True,2015,1
Northern Iowa,5,71.0,Wyoming,12,54.0,Northern Iowa,True,2015,1
Louisville,4,57.0,California-Irvine,13,55.0,Louisville,True,2015,1
Providence,6,53.0,Dayton,11,66.0,Dayton,False,2015,1
Oklahoma,3,69.0,Albany,14,60.0,Oklahoma,True,2015,1
Michigan State,7,70.0,Georgia,10,63.0,Michigan State,True,2015,1
Virginia,2,79.0,Belmont,15,67.0,Virginia,True,2015,1
Duke,1,85.0,Robert Morris,16,56.0,Duke,True,2015,1
San Diego State,8,76.0,St. John's,9,64.0,San Diego State,True,2015,1
Utah,5,57.0,Stephen F. Austin,12,50.0,Utah,True,2015,1
Georgetown,4,84.0,Eastern Washington,13,74.0,Georgetown,True,2015,1
Southern Methodist,6,59.0,UCLA,11,60.0,UCLA,False,2015,1
Iowa State,3,59.0,UAB,14,60.0,UAB,False,2015,1
Iowa,7,83.0,Davidson,10,52.0,Iowa,True,2015,1
Gonzaga,2,86.0,North Dakota State,15,76.0,Gonzaga,True,2015,1
Kentucky,1,79.0,Hampton,16,56.0,Kentucky,True,2015,1
Cincinnati,8,66.0,Purdue,9,65.0,Cincinnati,True,2015,1
