Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Villanova,1,62.0,Wisconsin,8,65.0,Wisconsin,False
Virginia,5,39.0,Florida,4,65.0,Florida,False
USC,11,78.0,Baylor,3,82.0,Baylor,False
South Carolina,7,88.0,Duke,2,81.0,South Carolina,True
North Carolina,1,72.0,Arkansas,8,65.0,North Carolina,True
Middle Tennessee,12,65.0,Butler,4,74.0,Butler,False
Cincinnati,6,67.0,UCLA,3,79.0,UCLA,False
Wichita State,10,62.0,Kentucky,2,65.0,Kentucky,False
Kansas,1,90.0,Michigan State,9,70.0,Kansas,True
Iowa State,5,76.0,Purdue,4,80.0,Purdue,False
Rhode Island,11,72.0,Oregon,3,75.0,Oregon,False
Michigan,7,73.0,Louisville,2,69.0,Michigan,True
Gonzaga,1,61.0,West Virginia,4,58.0,Gonzaga,True
Xavier,11,73.0,Arizona,2,71.0,Xavier,True
Wisconsin,8,83.0,Florida,4,84.0,Florida,False
Baylor,3,50.0,South Carolina,7,70.0,South Carolina,False
North Carolina,1,92.0,Butler,4,80.0,North Carolina,True
UCLA,3,75.0,Kentucky,2,86.0,Kentucky,False
Kansas,1,98.0,Purdue,4,66.0,Kansas,True
Oregon,3,69.0,Michigan,7,68.0,Oregon,True
Gonzaga,1,83.0,Xavier,11,59.0,Gonzaga,True
Florida,4,70.0,South Carolina,7,77.0,South Carolina,False
North Carolina,1,75.0,Kentucky,2,73.0,North Carolina,True
Kansas,1,60.0,Oregon,3,74.0,Oregon,False
South Carolina,7,73.0,Gonzaga,1,77.0,Gonzaga,False
Oregon,3,76.0,North Carolina,1,77.0,North Carolina,False
Gonzaga,1,65.0,North Carolina,1,71.0,North Carolina,False
Xavier,1,102.0,Texas Southern,16,83.0,Xavier,True
Missouri,8,54.0,Florida State,9,67.0,Florida State,False
Ohio State,5,81.0,South Dakota State,12,73.0,Ohio State,True
Gonzaga,4,68.0,UNC Greensboro,13,64.0,Gonzaga,True
Houston,6,67.0,San Diego State,11,65.0,Houston,True
Michigan,3,61.0,Montana,14,47.0,Michigan,True
Texas A&M,7,73.0,Providence,10,69.0,Texas A&M,True
North Carolina,2,84.0,Lipscomb,15,66.0,North Carolina,True
Villanova,1,87.0,Radford,16,61.0,Villanova,True
Virginia Tech,8,83.0,Alabama,9,86.0,Alabama,False
West Virginia,5,85.0,Murray State,12,68.0,West Virginia,True
Wichita State,4,75.0,Marshall,13,81.0,Marshall,False
Florida,6,77.0,St. Bonaventure,11,62.0,Florida,True
Texas Tech,3,70.0,Stephen F. Austin,14,60.0,Texas Tech,True
Arkansas,7,62.0,Butler,10,79.0,Butler,False
Purdue,2,74.0,Cal State Fullerton,15,48.0,Purdue,True
Virginia,1,54.0,UMBC,16,74.0,UMBC,False
Creighton,8,59.0,Kansas State,9,69.0,Kansas State,False
Kentucky,5,78.0,Davidson,12,73.0,Kentucky,True
Arizona,4,68.0,Buffalo,13,89.0,Buffalo,False
Miami (FL),6,62.0,Loyola Chicago,11,64.0,Loyola Chicago,False
Tennessee,3,73.0,Wright State,14,47.0,Tennessee,True
Nevada,7,87.0,Texas,10,83.0,Nevada,True
Cincinnati,2,68.0,Georgia State,15,53.0,Cincinnati,True
Kansas,1,76.0,Penn,16,60.0,Kansas,True
Seton Hall,8,94.0,NC State,9,83.0,Seton Hall,True
Clemson,5,79.0,New Mexico State,12,68.0,Clemson,True
Auburn,4,62.0,College of Charleston,13,58.0,Auburn,True
TCU,6,52.0,Syracuse,11,57.0,Syracuse,False
Michigan State,3,82.0,Bucknell,14,78.0,Michigan State,True
Rhode Island,7,83.0,Oklahoma,10,78.0,Rhode Island,True
Duke,2,89.0,Iona,15,67.0,Duke,True
Xavier,1,70.0,Florida State,9,75.0,Florida State,False
Ohio State,5,84.0,Gonzaga,4,90.0,Gonzaga,False
Houston,6,63.0,Michigan,3,64.0,Michigan,False
Texas A&M,7,86.0,North Carolina,2,65.0,Texas A&M,True
Villanova,1,81.0,Alabama,9,58.0,Villanova,True
West Virginia,5,94.0,Marshall,13,71.0,West Virginia,True
Florida,6,66.0,Texas Tech,3,69.0,Texas Tech,False
Butler,10,73.0,Purdue,2,76.0,Purdue,False
UMBC,16,43.0,Kansas State,9,50.0,Kansas State,False
Kentucky,5,95.0,Buffalo,13,75.0,Kentucky,True
Loyola Chicago,11,63.0,Tennessee,3,62.0,Loyola Chicago,True
Nevada,7,75.0,Cincinnati,2,73.0,Nevada,True
Kansas,1,83.0,Seton Hall,8,79.0,Kansas,True
Clemson,5,84.0,Auburn,4,53.0,Clemson,True
Syracuse,11,55.0,Michigan State,3,53.0,Syracuse,True
Rhode Island,7,62.0,Duke,2,87.0,Duke,False
Florida State,9,75.0,Gonzaga,4,60.0,Florida State,True
Michigan,3,99.0,Texas A&M,7,72.0,Michigan,True
Villanova,1,90.0,West Virginia,5,78.0,Villanova,True
Texas Tech,3,78.0,Purdue,2,65.0,Texas Tech,True
Kansas State,9,61.0,Kentucky,5,58.0,Kansas State,True
Loyola Chicago,11,69.0,Nevada,7,68.0,Loyola Chicago,True
Kansas,1,80.0,Clemson,5,76.0,Kansas,True
Syracuse,11,65.0,Duke,2,69.0,Duke,False
Florida State,9,54.0,Michigan,3,58.0,Michigan,False
Villanova,1,71.0,Texas Tech,3,59.0,Villanova,True
Kansas State,9,62.0,Loyola Chicago,11,78.0,Loyola Chicago,False
Kansas,1,85.0,Duke,2,81.0,Kansas,True
