Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
201,UC Davis,16,BW,33,21-12,11-5,21,12,11,5,+0.1969,,,-187.8,+206.3,-7.8,+56.5808,-200.6225,+150.2,-195.5,+249.9,-25.9,+15.7,-269.7,+217.2,-75.2,+84.6,-138.5,+61.9,-95.8,+88.8,+1.8,+87.9,-102.1,-38.1,-220.1,+226.0,-78.4,+4.0,-144.3,+250.8,-7.9,+55.6,-262.3,+264.6,-144.5,+97.8,-59.7,+210.4,-159.2
25,UCLA,3,P12,33,29-4,15-3,29,4,15,3,-0.1288,,,+106.5,-13.2,+5.5,+32.087,-24.1148,-24.5,+50.3,+72.6,-30.2,+117.6,+1.3,+37.8,-288.0,+112.6,-146.5,+218.7,-105.9,+124.1,-310.9,+200.2,+20.7,+59.2,+47.6,+76.0,+18.8,+73.5,+29.1,+99.8,-208.3,+124.4,-108.8,+114.0,-128.8,+128.6,+65.9,+11.3,-9.7
62,UNC Wilmington,12,CAA,32,27-5,15-3,27,5,15,3,+0.1562,,,+111.4,-97.6,-81.7,+293.2146,-61.2233,+18.8,+40.3,-51.1,-229.8,+303.1,+13.3,+33.7,-41.3,+152.5,-35.8,+65.2,-134.5,+11.1,-232.0,-26.4,-221.4,+154.9,+51.0,-43.2,-262.8,+291.0,-83.5,-14.7,-59.3,+161.2,-9.2,+81.6,+23.1,+82.6,-10.5,+67.3,-37.5
66,USC,11,P12,34,25-9,10-8,25,9,10,8,+0.0647,,,+69.1,-55.1,+1.9,+113.2182,-65.1632,+2.2,-54.6,+48.1,-89.8,+192.4,-1.6,+17.1,-186.5,+31.8,-68.5,+67.9,-223.7,+150.5,-78.7,+90.9,+20.9,+5.7,-71.4,+39.0,-29.6,+172.7,-72.3,+111.3,-233.4,+143.0,-148.2,+180.4,-151.7,+89.8,-61.5,+262.6,-43.96
58,VCU,10,A10,34,26-8,14-4,26,8,14,4,-0.1647,,,+13.6,+28.2,+52.8,+83.203,-57.2504,+31.9,-103.7,+201.9,+14.3,+124.1,-103.2,+5.0,-15.0,+110.6,-61.5,+49.5,-74.0,+0.7,-115.6,+152.2,-229.1,+172.5,-35.4,+141.5,+4.9,+110.6,-213.0,+243.2,-68.0,+138.3,-292.6,+296.7,+1.9,-14.8,-88.8,+207.6,-43.16
33,Vanderbilt,9,SEC,34,19-15,10-8,19,15,10,8,+0.1912,,,+67.3,+19.8,+47.8,+4.1249,-32.0568,-32.3,-39.9,+174.1,-15.2,+27.7,-134.1,+58.0,-296.5,+131.0,-278.0,+283.9,-54.9,+13.1,-148.6,+130.4,-45.5,-29.3,-169.9,+176.3,-22.9,+85.3,-22.9,+169.4,-63.9,-16.6,+42.7,-13.2,-32.1,-21.0,-220.3,+227.92,-52.6
69,Vermont,13,AE,33,28-5,16-0,28,5,16,0,+0.1515,,,+43.8,-17.6,+8.3,+3.2299,-68.041,-45.4,+38.5,-26.2,-38.7,-15.1,-60.8,+0.3,-83.1,+48.9,-112.7,+154.1,-43.5,+63.1,-153.0,+190.4,+9.1,+2.4,+42.6,+9.3,-28.7,-13.7,-47.7,+0.5,-124.4,-30.5,-255.5,+209.7,+7.8,-24.9,-251.8,+321.1,-45.77
2,Villanova,1,BE,34,31-3,15-3,31,3,15,3,+0.0882,,,+119.3,-74.2,+74.3,+12.0378,-1.0254,-54.9,+54.5,-33.1,-22.8,+74.9,-57.2,+88.8,-42.9,-12.6,-131.0,+163.4,-73.7,+123.7,-128.3,+47.2,+21.7,-25.7,+57.5,-35.9,-105.9,+86.0,-41.9,+49.7,+7.6,+51.9,+20.5,-8.2,-261.8,+72.2,-250.6,+277.0,+0.9
3,Virginia,5,ACC,32,22-10,11-7,22,10,11,7,-0.0208,,,+82.3,-48.7,+89.8,+24.0409,-2.055,-33.9,-13.9,+58.3,+28.9,+118.4,-0.8,+29.0,-14.9,+112.3,-170.7,+80.8,+14.1,+12.3,-328.4,+280.0,-109.8,+185.0,-99.1,+242.0,+26.3,+224.7,+28.0,-16.2,+6.8,+25.8,-213.5,+103.3,-241.5,+260.7,-290.3,+324.0,-21.65
45,Virginia Tech,9,ACC,32,22-10,10-8,22,10,10,8,-0.3542,,,+102.8,-86.4,-15.7,+161.1689,-44.1306,-16.0,+48.3,-0.9,-140.8,+190.8,-64.9,+65.4,-278.9,+257.6,-297.7,+199.1,-171.1,+255.5,-6.7,+20.1,+20.5,+189.2,+39.9,-30.1,-110.4,+172.7,+26.7,+112.0,-191.4,+139.1,-41.9,+11.6,-109.4,+13.9,-66.1,+174.7,-30.35
32,Wake Forest,11,ACC,33,19-14,9-9,19,14,9,9,+0.0242,,,+127.4,-99.4,-35.6,+262.1197,-31.1398,-8.1,+19.7,-33.7,-211.9,+275.6,-28.3,+51.8,-291.0,+219.3,-90.7,+153.3,-75.9,+165.3,+15.7,-32.0,-183.1,+225.9,-2.7,-10.1,-212.9,+278.5,+9.7,+13.2,-181.7,+112.3,-150.5,+43.2,-219.8,+66.0,+11.6,+61.7,-44.0
8,West Virginia,4,B12,34,26-8,12-6,26,8,12,6,-0.0147,,,+86.5,+21.2,+81.8,+9.0494,-7.08,-26.8,-59.3,+156.3,-42.6,+107.1,-43.8,+168.9,+18.3,+53.3,+28.5,+13.6,-272.0,+40.8,-55.1,+144.8,-277.0,+76.4,-71.8,+236.4,-19.2,+103.9,-78.4,+41.1,-132.0,+81.0,-219.0,+154.7,-136.4,+165.5,+23.1,+168.7,-11.8
12,Wichita State,10,MVC,33,29-4,17-1,29,4,17,1,+0.1212,,,+99.5,-62.8,+65.2,+6.066,-11.0274,-50.7,+16.4,+200.1,+36.4,-3.9,-8.2,+89.2,-75.3,+84.1,-5.8,+15.8,+19.4,+94.1,+19.0,-30.2,-146.4,+65.0,-60.1,+271.7,+35.9,+3.3,+41.0,-7.0,+5.7,-13.4,-142.9,+230.2,-212.3,+206.5,-43.5,+122.8,-23.1
119,Winthrop,13,BSth,30,24-6,15-3,24,6,15,3,+0.2,,,-30.8,+72.2,-32.3,+96.3988,-118.3748,+60.3,+4.7,+22.6,+16.2,+19.1,-99.6,+104.3,-142.6,+169.0,-227.6,+173.3,-126.8,+70.1,-31.1,+17.2,-114.6,+36.8,-43.1,+135.3,+1.3,+67.0,-6.8,+22.2,-5.0,-3.6,+17.6,-8.4,-104.4,+122.7,+19.7,+60.7,-68.85
18,Wisconsin,8,B10,34,25-9,12-6,25,9,12,6,-0.1353,,,+73.7,+4.5,+76.3,+5.0775,-17.0523,-34.7,-59.0,+58.7,+5.2,+75.2,-41.7,+140.1,-69.5,+27.5,+9.6,+88.6,-3.8,+98.0,-248.2,+264.6,+5.0,-32.8,-60.0,+183.4,+34.5,+2.5,-107.9,+7.3,-265.6,+185.3,-125.9,+100.6,-33.7,+50.5,-275.0,+307.9,-20.56
35,Xavier,11,BE,34,21-13,9-9,21,13,9,9,-0.0176,,,+81.1,-48.3,+37.1,+129.1342,-34.2003,+13.4,-63.3,+2.2,-165.2,+240.4,-160.0,+210.2,-194.3,+82.8,+8.3,+53.0,+2.3,+70.8,+0.7,+99.3,-107.8,+59.0,-8.6,-12.5,-238.0,+187.0,-180.2,+90.2,-63.2,+227.6,-133.4,+78.8,-234.6,+96.3,-151.1,+249.4,-41.88
