Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
94,Alabama,9,SEC,4,2-2,2,2,0.5,100.6,192,92.8,45,0.7169,94,44.1,261,47.3,119,20.0,206,17.1,207,31.0,160,24.8,46,48.9,35,35.3,152,45.4,216,50.9,213,26.7,263,28.2,69,24.2,296,42.3,297,61.2,269,-0.37,113
99,Lamar,16,Slnd,6,5-1,5,1,0.8333,107.8,111,99.6,124,0.7125,99,45.8,228,42.7,25,13.4,25,13.9,290,35.6,81,31.5,157,41.4,88,25.3,40,44.1,240,42.3,48,35.5,134,29.2,80,18.1,320,25.0,32,63.6,201,0.6,30
101,Duke,2,ACC,3,1-2,1,2,0.3333,107.4,115,99.3,118,0.712,101,43.5,274,46.9,107,15.6,66,18.7,143,31.5,156,41.3,293,33.9,182,29.0,74,48.5,144,45.0,85,23.9,294,36.1,188,39.9,55,20.5,9,62.5,242,-0.3,103
102,Notre Dame,7,BE,3,2-1,2,1,0.6667,107.5,114,99.4,122,0.7109,102,45.8,228,48.6,145,15.9,73,15.9,238,32.0,147,31.0,150,41.6,83,11.4,2,43.2,257,48.4,169,34.9,145,32.7,131,27.9,246,29.5,101,60.1,291,0.38,42
107,Loyola (MD),15,MAAC,3,3-0,3,0,1.0,107.9,108,100.1,128,0.7023,107,54.5,47,43.0,29,20.2,212,15.8,240,32.5,137,31.7,160,41.0,95,30.3,85,49.6,119,40.3,23,48.4,8,34.1,149,21.5,311,24.8,30,61.1,273,0.5,33
121,Montana,13,BSky,2,2-0,2,0,1.0,114.2,44,108.7,246,0.639,121,54.9,43,51.8,219,14.1,32,18.0,172,37.3,61,25.9,60,42.0,78,21.1,11,50.6,97,56.6,292,42.9,29,27.3,53,31.3,188,30.3,118,62.4,245,0.22,54
132,Southern Miss,9,CUSA,4,2-2,2,2,0.5,110.8,75,106.7,225,0.6073,132,46.0,223,58.4,293,11.4,9,20.4,97,35.3,85,22.2,19,41.8,82,38.6,194,45.5,214,54.0,261,31.7,195,42.7,273,26.4,270,44.1,304,65.5,133,-0.8,219
139,Norfolk State,15,MEAC,4,4-0,4,0,1.0,103.8,157,101.4,151,0.5667,139,52.5,83,45.3,68,20.4,220,19.6,124,39.1,39,34.5,212,47.5,41,28.7,67,51.8,76,39.0,18,36.1,124,40.6,253,30.2,215,28.7,81,62.8,235,0.25,53
149,Western Kentucky,16,SB,5,5-0,5,0,1.0,98.1,219,96.5,87,0.5482,149,44.6,254,45.2,65,23.0,273,17.8,181,40.1,26,22.8,22,56.3,10,31.9,110,42.2,274,46.0,111,33.3,160,28.8,75,30.2,215,28.4,75,68.7,52,0.9,19
157,California,12,P12,4,1-3,1,3,0.25,106.2,127,105.4,208,0.5229,157,46.7,203,52.5,228,21.1,239,15.1,258,31.6,154,24.6,42,40.2,100,30.5,91,47.2,175,51.6,224,30.2,219,36.5,198,24.8,288,28.6,77,67.1,91,-0.29,100
167,BYU,14,WCC,3,2-1,2,1,0.6667,92.9,267,92.6,42,0.5085,167,52.1,93,53.7,246,22.4,260,21.9,58,22.9,284,21.4,18,34.5,171,24.2,32,53.9,47,58.3,300,32.1,187,30.2,92,31.5,185,35.4,215,72.6,14,-0.23,97
263,Mississippi Valley St.,16,SWAC,5,3-2,3,2,0.6,94.4,244,107.6,235,0.1809,263,43.9,267,49.2,159,17.6,125,28.2,4,34.7,102,40.3,287,34.8,168,50.8,280,47.9,163,44.8,81,24.8,287,38.6,234,37.0,88,33.5,174,68.2,64,-0.9,229
