Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1,Year,Round
Butler,6,56,24,BE,22-10,22,10,0.6875,15.8,107.5,67,91.7,11,63.8,229,-0.014,217,6.8,19,106.9,10,100.1,66,,184,Texas,11,48,18,B12,20-13,20,13,0.6060606060606061,17.0,110.3,41,93.3,19,62.3,294,-0.071,325,8.2,10,106.2,28,98.0,10,,201,Butler,True,2015,1
Butler,6,64,24,BE,22-10,22,10,0.6875,15.8,107.5,67,91.7,11,63.8,229,-0.014,217,6.8,19,106.9,10,100.1,66,,184,Notre Dame,3,67,9,ACC,29-5,29,5,0.8529411764705882,22.3,122.1,2,99.8,111,64.2,204,0.064,44,3.6,36,104.3,77,100.7,92,,347,Notre Dame,False,2015,2
Notre Dame,3,69,9,ACC,29-5,29,5,0.8529411764705882,22.3,122.1,2,99.8,111,64.2,204,0.064,44,3.6,36,104.3,77,100.7,92,,347,Northeastern,14,65,54,CAA,23-11,23,11,0.6764705882352942,3.4,105.8,97,102.4,167,63.6,244,0.037,88,-1.6,49,102.1,176,103.7,236,,120,Notre Dame,True,2015,1
Notre Dame,3,81,9,ACC,29-5,29,5,0.8529411764705882,22.3,122.1,2,99.8,111,64.2,204,0.064,44,3.6,36,104.3,77,100.7,92,,347,Wichita State,7,70,14,MVC,28-4,28,4,0.875,20.3,113.2,20,92.9,15,62.1,301,0.018,135,1.7,44,102.0,179,100.3,76,,61,Notre Dame,True,2015,3
Wichita State,7,81,14,MVC,28-4,28,4,0.875,20.3,113.2,20,92.9,15,62.1,301,0.018,135,1.7,44,102.0,179,100.3,76,,61,Indiana,10,76,44,B10,20-13,20,13,0.6060606060606061,11.7,116.5,9,104.8,217,66.6,85,-0.032,257,4.5,33,104.8,68,100.3,74,,318,Wichita State,True,2015,1
Wichita State,7,78,14,MVC,28-4,28,4,0.875,20.3,113.2,20,92.9,15,62.1,301,0.018,135,1.7,44,102.0,179,100.3,76,,61,Kansas,2,65,15,B12,26-8,26,8,0.7647058823529411,20.3,110.8,37,90.5,7,67.4,56,0.079,24,12.0,1,108.5,1,96.5,1,,11,Wichita State,True,2015,2
Kansas,2,75,15,B12,26-8,26,8,0.7647058823529411,20.3,110.8,37,90.5,7,67.4,56,0.079,24,12.0,1,108.5,1,96.5,1,,11,New Mexico State,15,56,50,WAC,23-10,23,10,0.696969696969697,6.4,104.3,118,97.9,84,63.7,238,-0.051,299,-5.4,61,99.4,319,104.8,288,,152,Kansas,True,2015,1
Ohio State,10,58,20,B10,23-10,23,10,0.696969696969697,16.6,111.5,30,94.9,39,66.4,97,-0.051,298,4.2,35,105.0,61,100.8,98,,330,Arizona,2,73,3,P12,31-3,31,3,0.9117647058823528,29.6,116.0,10,86.4,3,66.7,80,-0.028,251,5.4,32,105.1,57,99.7,51,,177,Arizona,False,2015,2
Dayton,11,66,42,A10,26-8,26,8,0.7647058823529411,12.3,106.9,76,94.6,35,63.7,239,0.032,100,2.5,39,103.0,115,100.5,84,,165,Oklahoma,3,72,12,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115,Oklahoma,False,2015,2
UCLA,11,92,39,P12,20-13,20,13,0.6060606060606061,12.8,110.2,43,97.4,74,66.1,113,0.026,119,7.0,16,105.2,53,98.2,12,,82,UAB,14,75,55,CUSA,19-15,19,15,0.5588235294117647,3.1,103.5,140,100.4,126,64.9,164,0.011,156,-0.3,48,101.4,210,101.7,123,,59,UCLA,True,2015,2
UCLA,11,62,39,P12,20-13,20,13,0.6060606060606061,12.8,110.2,43,97.4,74,66.1,113,0.026,119,7.0,16,105.2,53,98.2,12,,82,Gonzaga,2,74,7,WCC,32-2,32,2,0.9411764705882352,24.6,118.8,7,94.2,27,65.0,158,0.013,151,2.3,40,104.1,85,101.8,128,,46,Gonzaga,False,2015,3
