Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
93,Grand Canyon,13,WAC,26-7,26,7,0.7878787878787878,7.22,107.8,149,100.6,67,71.4,14,0.019,127,-3.47,248,103.1,305,106.6,148,-3.2,271
98,Troy,14,SB,23-10,23,10,0.696969696969697,6.88,107.7,153,100.8,71,66.3,229,-0.009,204,-2.91,229,105.3,239,108.2,215,1.2,135
99,Akron,13,MAC,28-6,28,6,0.8235294117647058,6.58,113.7,66,107.1,183,71.4,16,0.071,39,-4.38,277,104.7,266,109.1,263,1.54,127
105,UNC Wilmington,14,CAA,27-7,27,7,0.7941176470588235,5.14,112.3,84,107.1,184,65.3,285,0.055,58,-4.62,284,104.8,261,109.5,294,-5.06,311
118,Wofford,15,SC,19-15,19,15,0.5588235298,4.23,113.7,67,109.4,230,64.0,333,-0.32,266,-0.63,161,106.8,158,107.4,175,5.21,47
139,Robert Morris,15,Horz,26-8,26,8,0.7647058823529411,2.09,107.0,171,104.9,134,67.8,141,0.088,23,-6.25,304,104.5,276,110.7,355,-8.62,351
149,Bryant,15,AE,23-11,23,11,0.6764705882352942,1.18,106.7,178,105.5,148,72.4,7,-0.003,188,-6.99,317,102.9,312,109.9,326,0.46,152
156,Omaha,15,Sum,22-12,22,12,0.6470588235294118,0.51,111.0,96,110.5,252,67.7,145,0.071,38,-2.51,211,106.7,160,109.2,277,0.4,155
157,Montana,14,BSky,25-9,25,9,0.7352941176470589,0.38,110.8,98,110.4,250,67.0,193,0.186,1,-2.22,195,106.4,173,108.7,236,8.73,25
180,Norfolk State,16,MEAC,24-10,24,10,0.7058823529411765,-1.53,107.1,168,108.7,217,66.3,226,0.056,56,-7.23,324,103.0,307,110.3,337,3.03,89
217,SIU Edwardsville,16,OVC,22-11,22,11,0.6666666666666666,-4.32,101.9,255,106.2,160,65.8,261,0.052,66,-9.1,357,101.3,351,110.4,347,-3.52,278
237,American,16,PL,22-12,22,12,0.6470588235294118,-5.98,102.1,252,108.0,205,63.5,349,0.133,4,-7.09,320,103.2,303,110.3,342,1.65,124
250,Mount St. Mary's,16,MAAC,22-12,22,12,0.6470588235294118,-6.67,100.1,292,106.8,176,67.4,170,0.147,2,-7.26,325,101.9,333,109.2,266,-1.18,210
273,Alabama State,16,SWAC,19-15,19,15,0.5588235294117647,-9.24,101.4,270,110.6,256,67.7,142,0.049,69,-8.7,355,100.7,359,109.4,290,6.15,45
311,Saint Francis,16,NEC,16-17,16,17,0.4848484848484848,-12.76,99.7,299,112.4,293,66.9,201,0.074,35,-6.8,313,101.5,345,108.3,218,7.94,32
